tanggal,pasar manis,pasar wage
2017-05-01,40000.0,35000.0
2017-05-02,39000.0,33500.0
2017-05-03,35000.0,33500.0
2017-05-04,35000.0,33500.0
2017-05-05,35000.0,33500.0
2017-05-08,37500.0,33500.0
2017-05-09,37500.0,33500.0
2017-05-10,37500.0,37000.0
2017-05-11,37500.0,37000.0
2017-05-12,37500.0,37000.0
2017-05-15,35000.0,37000.0
2017-05-16,35000.0,36000.0
2017-05-17,34500.0,36000.0
2017-05-18,35000.0,36000.0
2017-05-19,35000.0,33500.0
2017-05-22,35000.0,32500.0
2017-05-23,35000.0,33500.0
2017-05-24,35000.0,33500.0
2017-05-25,35000.0,33500.0
2017-05-26,35000.0,33500.0
2017-05-29,31500.0,33500.0
2017-05-30,31500.0,33500.0
2017-05-31,35000.0,33500.0
2017-06-01,35000.0,33500.0
2017-06-02,35000.0,33500.0
2017-06-05,35000.0,33500.0
2017-06-06,35000.0,35500.0
2017-06-07,35000.0,35500.0
2017-06-08,35000.0,35500.0
2017-06-09,35000.0,35500.0
2017-06-12,40000.0,34500.0
2017-06-13,35000.0,34500.0
2017-06-14,35000.0,33500.0
2017-06-15,36500.0,33500.0
2017-06-16,36500.0,34500.0
2017-06-19,37500.0,37000.0
2017-06-20,37500.0,37000.0
2017-06-21,45000.0,38000.0
2017-06-22,45000.0,40000.0
2017-06-23,45000.0,41617.78531455268
2017-06-26,40408.762726022986,42998.78277140225
2017-06-27,40286.18881847883,42640.2160471908
2017-06-28,40361.690300634335,42041.476527619445
2017-06-29,40529.25778514931,41304.130298420656
2017-06-30,40682.88188468354,40529.74344532685
2017-07-03,40000.0,39000.0
2017-07-04,40000.0,39000.0
2017-07-05,42500.0,39000.0
2017-07-06,42500.0,39000.0
2017-07-07,42500.0,39000.0
2017-07-10,40000.0,37500.0
2017-07-11,40000.0,37500.0
2017-07-12,40000.0,37500.0
2017-07-13,40000.0,37000.0
2017-07-14,37500.0,37000.0
2017-07-17,37500.0,37000.0
2017-07-18,37500.0,37000.0
2017-07-19,37500.0,37500.0
2017-07-20,37500.0,35000.0
2017-07-21,37500.0,34500.0
2017-07-24,35000.0,34500.0
2017-07-25,35000.0,34500.0
2017-07-26,35000.0,33500.0
2017-07-27,32500.0,33500.0
2017-07-28,32500.0,31000.0
2017-07-31,32500.0,31000.0
2017-08-01,32500.0,30000.0
2017-08-02,32500.0,30000.0
2017-08-03,32500.0,30000.0
2017-08-04,32500.0,29000.0
2017-08-07,31000.0,29000.0
2017-08-08,31000.0,29000.0
2017-08-09,31000.0,29000.0
2017-08-10,31000.0,29000.0
2017-08-11,31000.0,28000.0
2017-08-14,30000.0,28000.0
2017-08-15,30000.0,28000.0
2017-08-16,30000.0,27500.0
2017-08-17,30000.0,27500.0
2017-08-18,30000.0,27500.0
2017-08-21,30000.0,27500.0
2017-08-22,27500.0,27000.0
2017-08-23,26500.0,27000.0
2017-08-24,26500.0,27000.0
2017-08-25,26500.0,27000.0
2017-08-28,26500.0,24500.0
2017-08-29,26500.0,24500.0
2017-08-30,26500.0,24500.0
2017-08-31,26500.0,24500.0
2017-09-01,26500.039239538237,24461.228390486605
2017-09-04,26500.0,24500.0
2017-09-05,26500.0,24500.0
2017-09-06,26500.0,24500.0
2017-09-07,26500.0,26500.0
2017-09-08,26500.0,24500.0
2017-09-11,26500.0,25500.0
2017-09-12,26500.0,25500.0
2017-09-13,25000.0,25500.0
2017-09-14,25000.0,24500.0
2017-09-15,25000.0,24500.0
2017-09-18,25000.0,25500.0
2017-09-19,24500.0,25000.0
2017-09-20,25000.0,25000.0
2017-09-21,25000.0,25000.0
2017-09-22,25000.0,24500.0
2017-09-25,25000.0,24500.0
2017-09-26,25000.0,24500.0
2017-09-27,25000.0,24500.0
2017-09-28,24500.0,24500.0
2017-09-29,24500.0,24500.0
2017-10-02,25000.0,22500.0
2017-10-03,25000.0,22500.0
2017-10-04,24000.0,22500.0
2017-10-05,24000.0,22500.0
2017-10-06,21500.0,22500.0
2017-10-09,21500.0,22500.0
2017-10-10,21500.0,22500.0
2017-10-11,23000.0,22500.0
2017-10-12,23000.0,22500.0
2017-10-13,23000.0,22500.0
2017-10-16,23000.0,23500.0
2017-10-17,23000.0,23500.0
